"song_index","Title","release_date","text"
19,"Aladdin Sane (1913-1938-197?)",1973-04-13,"Watching him dash away, swinging an old bouquet - dead roses Sake and strange divine Uh-h-h-uh-h-uh you'll make it Passionate bright young things, takes him away to war - don't fake it Saddening glissando strings Uh-h-h-uh-h-uh - you'll make it Who will love Aladdin Sane Battle cries and champagne just in time for sunrise Who will love Aladdin Sane Motor sensational, Paris or maybe hell - I'm waiting Clutches of sad remain Waits for Aladdin Sane - you'll make it Who will love Aladdin Sane Millions weep a fountain, just in case of sunrise Who will love Aladdin Sane Will love Aladdin Sane Who'll love Aladdin Sane Who will love Aladdin Sane Millions weep a fountain, just in case of sunrise Who will love Aladdin Sane Will love Aladdin Sane Will love Aladdin Sane Say the lights are oh so bright on Broadway"
20,"Algeria Touchshriek",1995-09-25,"My name is Mr. Touchshriek Of Touchshriek with mail over and fantasy My shop sells egg shells off the shesores and empty females I'm thinking of leasing the room above my shop To a Mr. Walloff Domburg A reject from the world wide intellect He's a broken man I'm also a broken man It would be nice to have company We could have great conversations Looking through windows for demons And watching the young advance in all electric Some of the houses around here still have inhabitants in them I'm not sure if they're from this country or not I don't get to speak much to anyone or, that sort of thing If I had another broken man Oh, I dream of something like that"
22,"All The Madmen",1970-11-04,"Day after day They send my friends away To mansions cold and grey To the far side of town Where the thin men stalk the streets While the sane stay underground Day after day They tell me I can go They tell me I can blow To the far side of town Where it's pointless to be high 'Cos it's such a long way down So I tell them that I can fly, I will scream, I will break my arm I will do me harm Here I stand, foot in hand, talking to my wall I'm not quite right at all... am I? Don't set me free, I'm as heavy as can be Just my librium and me And my E.S.T. makes three 'Cos I'd rather stay here With all the madmen Than perish with the sad men roaming free And I'd rather play here With all the madmen For I'm quite content they're all as sane As me Day after day They take some brain away Then turn my face around To the far side of town And tell me that it's real Then ask me how I feel Here I stand, foot in hand, talking to my wall I'm not quite right at all Don't set me free, I'm as helpless as can be My libido's split on me Gimme some good old lobotomy 'Cos I'd rather stay here With all the madmen Than perish with the sad men Roaming free And I'd rather play here With all the madmen For I'm quite content They're all as sane as me Zane, Zane, Zane Ouvre le Chien    "
27,"Always Crashing In The Same Car",1977-01-14,"Every chance, every chance that I take I'll take it on the road With kilometers and the red light I was always looking left and right Oh, but me? Always crashing in the same car Jasmine, I saw you peeping As I pushed my foot down to the floor I was going, round and round, hotel garage Must have been touching close to ninety-four Oh, but I'm always crashing in the same car Yeah"
35,"An Occasional Dream - (demo)",2019-06-28,"I recall how we lived On the corner of the bed And we'd speak of a Swedish room Of hessian and wood And we'd talk with our eyes Of the sweetness in our lives And tomorrow's of rich surprise Some things we could do For you and me tomorrow In our madness We burnt one hundred days Time takes time to pass And I still hold some ashes to me An occasional dream And we'd sleep, oh so close But not really close our eyes 'Tween the sheets of Summer bathed in blue Gently weeping nights It was long, long ago, long ago And I still can't touch your name For the days of fate were strong for you Danced you far from me Just you and you tomorrow In my madness I see your face in mine I keep a photograph It burns my wall with time Time An occasional dream Of mine An occasional dream Of mine An occasional dream Of mine"
36,"An Occasional Dream",1969-11-14,"I recall how we lived On the corner of a bed And we'd speak of a Swedish room Of hessian and wood And we'd talk with our eyes Of the sweetness in our lives And tomorrow's of rich surprise Some things we could do In our madness We burnt one hundred days Time takes time to pass And I still hold some ashes to me An occasional dream And we'd sleep, oh so close But not really close our eyes 'Tween the sheets of Summer bathed in blue... Gently weeping nights It was long, long ago, long ago And I still can't touch your name For the days of fate were strong for you Danced you far from me In my madness I see your face in mine I keep a photograph It burns my wall with time Time An occasional dream Of mine An occasional dream Of mine An occasional dream Of mine"
38,"Andy Warhol",1971-12-17,"Like to take a cement fix Be a standing cinema Dress my friends up just for show See them as they really are Put a peephole in my brain Two new pence to have a go I'd like to be a gallery Put you all inside my show CHORUS Andy Warhol looks a scream Hang him on my wall Andy Warhol, silver screen Can't tell them apart at all Andy walking, Andy tired Andy take a little snooze Tie him up when he fast asleep Send him on a pleasant cruise When he wake up on the sea Be sure to think of me and you He'll think about paint and he'll think about glue What a jolly boring thing to do Andy Warhol looks a scream Hang him on my wall Andy Warhol, silver screen Can't tell them apart at all"
40,"Anyway, Anyhow, Anywhere",1973-10-19,"CHORUS I can go anyway I can live anyhow I can go anywhere Anyway, anyhow, anywhere I choose Do anything I can talk anyhow I don't care anyway Anyway, anyhow, anywhere I choose Nothing gets in my way Not even locked doors Don't follow the lines that been laid before I get along anyway I care Anyway, anyhow, anywhere CHORUS I can go anyway I can live anyhow I can do anything Anyway, anyhow, anywhere I choose Anyway, anyway I choose I wanna go Do it myself, do it myself, do it myself, do it myself Anyway, anyway I choose"
43,"As The World Falls Down",1986-11-26,"There's such a sad love Deep in your eyes, a kind of pale jewel Open and closed within your eyes I'll place the sky within your eyes There's such a fooled heart Beating so fast in search of new dreams A love that will last within your heart I'll place the moon within your heart CHORUS As the pain sweeps through Makes no sense for you Every thrill has gone Wasn't too much fun at all But I'll be there for you-oo-oo As the world falls down Falling Falling down Falling in love I'll paint you mornings of gold I'll spin you Valentine evenings Though we're strangers till now We're choosing a path between the stars I'll leave my love between the stars CHORUS Falling Falling down Falling As the world falls down Falling Falling Falling Falling in love As the world falls down Falling Falling Falling Falling in love As the world falls down Falling Falling Falling Makes no sense at all Makes no sense to fall Falling As the world falls down Falling Falling Falling in love As the world falls down Falling Falling Falling in love Falling in love Falling in love Falling in love Falling in love"
44,"Ashes To Ashes",1980-09-12,"Do you remember a guy that's been In such an early song I've heard a rumour from Ground Control Oh no, don't say it's true They got a message from the Action Man ""I'm happy, hope you're happy too I've loved all I've needed love Sordid details following"" The shrieking of nothing is killing Just pictures of Jap girls in synthesis And I ain't got no money and I ain't got no hair But I'm hoping to kick but the planet is glowing Ashes to ashes, funk to funky We know Major Tom's a junkie Strung out in heaven's high Hitting an all-time low Time and again I'll tell myself I'll stay clean tonight But the little green wheels are following me Oh no, not again ""I'm stuck with a valuable friend I'm happy, hope you're happy too"" One flash of light but no smoking pistol I've never done good things I've never done bad things I never did anything out of the blue, woh-o-oh Want an axe to break the ice Wanna come down right now Ashes to ashes, funk to funky We know Major Tom's a junkie Strung out in heaven's high Hitting an all-time low My mama said to get things done You'd better not mess with Major Tom My mama said to get things done You'd better not mess with Major Tom My mama said to get things done You'd better not mess with Major Tom My mama said to get things done You'd better not mess with Major Tom"
45,"Baal's Hymn",1982-02-13,"Whilst his mother's womb contained the growing Baal Even then the sky was waiting quiet and pale Naked, young, immensely marvellous Like Baal loved it, when he came to us That same sky remained with him in joy and care Even when Baal slept peaceful and unaware At night a lilac sky, a drunken Baal Turning pious as the sky grows pale So through hospital, cathedral, whiskey bar Baal kept moving onwards and just let things go When Baal's tired, boys, Baal cannot fall far He will have his sky down there below When the sinners congregate in shame together Baal lay naked, revelling in their distress Only sky, a sky that will go on forever Formed a blanket for his nakedness And that lusty girl, the world, who'll laughing yield To the men who'll stand the pressure of her thighs Sometimes gave him love-bites, such as can't be healed Baal survived it, he just used his eyes And when Baal saw lots of corpses scattered round He felt twice the thrill, despite the lack of room ""Space enough"" said Baal, ""then I'll thicken the ground Space enough within this woman's womb"" Any vice for Baal has got its useful side It's the man who practices it, he can't abide Vices have their point, once you see it as such Stick to two for one will be too much Slackness, softness are the sort of things to shun Nothing could be harder than the quest for fun Lots of strength is needed and experience too Swollen bellies can embarrass you Under gloomy stars and this poor veil of tears Baal will graze a pasture till it disappears Once it's been digested to the forest's teeth Baal trod singing for a well earned sleep Baal can spot the vultures in the stormy sky As they wait up there to see if Baal will die Sometimes Baal pretends he's dead, but vultures swoop Baal in silence dines on vulture-soup When the dark womb drags him down to its prize What's the world still mean to Baal, he's overfed So much sky is lurking still behind his eyes He'll just have enough sky when he's dead Once the Earth's dark womb engulfed the rotting Baal Even then the sky was up there, quiet and pale Naked, young, immensely marvellous Like Baal loved it when he lived with us"
48,"Baby Grace (A Horrid Cassette)",1995-09-25,"Test, testing, testing This and, Grace is my name And.. and I was... erm... It was like phot... a fading photograph of A patch, a patchwork quilt. And they've put me on these Ramona put me on these interest drugs So I'm thinking very f..., too, a bit too fast like a brain patch And, er... they won't let me see anybody If I want to sometimes and I ask I can still hear some pop... popular musics And aftershocks I feel a bit... I've been watching a television of um... in the homelands That's the new homelands, and, erm, and that's all I can remember And now, they just want me to be quiet And this I think, something is going to be horrid"
