"song_index","Title","release_date","text"
50,"Baby Loves That Way",2002-06-11,"Yes, she does, yes, she does Oh, I love my baby Ooh, I gotta take her Yep, I love her Baby likes to go outside, so I let her Wants to fool with other guys, so I let her Wants to be bad, so I let her be bad But fooling around, it will make me sad She fools around with other boys and treat me like an unwanted toy Oh, I love my baby Ooh, she does too much to me And I can't think too much of her Gotta take her, gotta take her Gonna better leave her alone, put you down son Treating her real fine, thus I'm home being a loner Jeanny's my babe and that's alright, yeah She treats me good, each and every night She fools around with other boys and treat me like an unwanted toy I love my baby Ooh, she's too much Yes she does, yes she does I love my baby Yeah, she's too much, yeah yeah Ooh, I think she can live with me Love her, love her, love her Baby likes to go outside, so I let her Wants to fool with other guys, so I let her Wants to be bad, so I let her be bad But fooling around, it will make me sad She clings around with all the boys, who treat her like unwanted toys Obviously this is the end Gotta take her Ooh yeah Can't do enough"
52,"Baby Universal",2020-01-31,"Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Baby Now that he has no sense of destination Now he's running for the love of speed When the child goes bad it's no cause for celebration Like Jimmy Dean he don't talk back to me Failures as fathers, Mothers to chaos No baby, no baby, no baby no CHORUS Hallo humans can you feel me thinking I assume you're seeing everything I'm thinking Hallo humans nothing starts tomorrow I'm the baby now Baby     Baby Universe Baby Universe Baby Universal A speck of dust just settled in my eye It doesn't matter I've seen everything anyway Failures as fathers, mothers to chaos No baby, no baby, no baby no CHORUS"
58,"Be My Wife",1977-01-14,"VERSE Sometimes you get so lonely Sometimes you get nowhere I've lived all over the world I've left every place CHORUS Please be mine Share my life Stay with me Be my wife VERSE CHORUS Sometimes you get so lonely"
59,"Beat Of Your Drum",1987-04-20,"Photograph king, watches you go Now fashions may change, heaven knows, but you still leave a stain on me Lowly to go, colours may fade The seasons may change, weather blows, but you still leave a mark on me Wrong - negative fades - never the twain, reckless and tame I like the beat of your drum I like the look in your eyes I like to look through your things I'd like to beat on your drum I like the smell of your flesh I like the dirt that you dish I like the clothes that you wear I'd like to beat on your drum I'd beat it, I'd beat it, can't feel it, I feel it Disco brat - follow the pack Watching you peel, Heaven knows, prison can't hold all this greedy intention Lowly need to go - I picture you now Music may change hi-de-ho keen to follow your nose Wrong - love out of tune Sweet is the night, bright light destroys me I like the beat of your drum I like to look in your eyes I like to look through your things I'd like to beat on your drum I like the smell of your flesh I like the dirt that you dish I like the clothes that you wear I'd like to beat on your drum I'd beat it, I'd beat it, can't feel it, I feel it I'd like to beat on your drum, oh yeah I'd like to beat on your drum I'd like your face in the crowd I'd like to beat on your drum I'd beat it, I'd beat it, can't feel it, I feel it Can't beat it, can't beat it, I'd beat it, oh yeah I'd like to beat on your drum I'd like to beat on your drum I'd like to yell it all out I'd like to beat on your drum Can't beat it, can't beat it, I feel it, I feel it I'd like to beat on your drum I'd like to beat on your drum I like your face in the crowd I'd like to beat on your drum Beat it, can't beat it Can't beat it, I beat it Beat it out loud, beat it out in the crowd Beat it, beat it, beat it, beat it I'd like to beat on your drum I'd like to beat on your drum I'd like to blow on your horn I'd like to beat on your drum Ah hit it"
62,"Because You're Young",1980-09-12,"Psychodelicate girl - come out to play Little metal faced-boy - don't stay away He's so war-torn and resigned she can't talk anymore What are they trying to prove? What would they like to find? It's love back to front and no sides - like I say These pieces are broken - like I say These pieces are broken Hope I'm wrong but I know CHORUS Because you're young - you'll meet a stranger some night Because you're young - what could be nicer for you and it makes me sad So I'll dance my life away A million dreams, a million scars He punishes hard - was loving her such a crime? She took back everything she said Left him nearly out of his mind They're people I know - people I love They seem so unhappy - dead or alive It's love back to front and no sides - like I say These pieces are broken - like I say These pieces are broken Hope I'm wrong but I know CHORUS Because you're young - you'll meet a stranger some night Because you're young - what could be nicer for you and it'll make me sad So I'll dance my life away A million dreams, a million scars A million A million scars A million A million dreams A million"
68,"Big Brother",1974-04-24,"Don't talk of dust and roses Or should we powder our noses? Don't live for last year's capers Well give me steel, give me steel, give me pulsars unreal We'll build a glass asylum With just a hint of mayhem He'll build a better whirlpool We'll be living from sin, then we can really begin Please saviour, saviour, show us Hear me, I'm graphically yours CHORUS Someone to claim us, someone to follow Someone to shame us, some brave Apollo Someone to fool us, someone like you We want you Big Brother, Big Brother I know you think you're awful square But you made everyone and you've been everywhere Lord, I'd take an overdose if you knew what's going down CHORUS We want you Big Brother"
69,"Black Country Rock",1970-11-04,"Pack a pack horse up and rest up here on Black Country Rock You never know you might find it here on Black Country Rock Pack a pack horse up and rest up here on Black Country Rock You never know you might find it here Black Country Rock Some say the view is crazy But you may adopt another point of view So if it's much too hazy You can leave my friend and me with fond adieu Hey! Pack a pack horse up and rest up here on Black Country Rock You never know you might find it here on Black Country Rock Pack a pack horse up and rest up here on Black Country Rock Never know you might find it here on Black Country Rock Some say the view is crazy But you may adopt another point of view So if it's much too hazy You can leave my friend and me with fond adieu Some say the view is crazy But you may adopt another point of view So if it's much too hazy You can leave my friend and me with fond adieu Ahhh"
71,"Black Tie White Noise",1993-05-31,"Getting my facts from a Benetton ad I'm lookin' thru' African eyes Lit by the glare of an L.A. fire I've got a face, not just my race, bang bang I've got you babe Sun comes up and the man goes down And the woman comes again Just an hour or so to be safe from fear Then we jump thru' hoops, we're divisible now, just disappear We reach out over race and hold each other's hands Then die in the flames singing ""we shall overcome"" Whoa! What's going on? There'll be some blood no doubt about it But we'll come thru' don't doubt it I look into your eyes and I know you won't kill me You won't kill me You won't kill me But I look into your eyes And I wonder sometimes Oh Lord, just let him see me Lord, Lord just let him hear me Let him call me brother Let him put his arms around me Let him put his hands together Reach over race and hold each other's hands Walk thru' the night thinking we are the world Woa! What's going on? There'll be some blood no doubt about it But we'll come thru' don't doubt it I look into your eyes and I know you won't kill me You won't kill me You won't kill me But I wonder why Yes, and I wonder why sometimes They'll show us how to break the rules But never how to make the rules Reduce us down to witless punks Fascist cries both black and white, who's got the blood, who's got the gun Putting on the black tie, crankin' out the white noise"
74,"Bleed Like A Craze, Dad",1993-11-08,"Shine shine shine Bleed like a craze, Dad These are the Krays Easy come Come, gather that Gather valium of your dead man Walks out the drunk from the jazz Astral, Kestrel Fed into the featherfall Fed him on a pencil carving You will never get Shine shine shine Bleed like a craze, Dad These are the Krays Shine shine shine Bleed like a craze, Dad These are the Krays Seek for a leather journey Never stopped to think about Hollywood King Kong Domino on the side Street light, looking right Looking to the parlous parlours Party on the dead Put a net through his headache Shine shine shine Blee-eed, bleed like a craze, Dad These are the Krays Living on a movie All the Shirley/Charlie films on film Come together, party Footnote on the footstone Shine shine shine Bleeds like a craze, Dad These are the Krays Shine shine shine Shine shine shine CHORUS Bleed like a craze, Dad These are the Krays"
76,"Blue Jean",1984-09-01,"Blue Jean - I just met a girl named Blue Jean Blue Jean - she got a camouflaged face and no money Remember they always let you down when you need 'em Oh, Blue Jean - is heaven any sweeter than Blue Jean She's got a police bike She's got turned up nose Sometimes I feel like Jazzin' for Blue Jean Blue Jean can send me Somebody send me One day I'm gonna write a poem in a letter One day I'm gonna get that faculty together Remember like everybody has to wait in line Blue Jean - look out world you know I've got mine She got Latin roots She got everything Sometimes I feel like Jazzin' for Blue Jean Blue Jean can take me Somebody send me Sometimes I feel like Jazzin' for Blue Jean Blue Jean can take me Somebody save me Somebody somebody Somebody save me"
